CID,CRPName,Party,Office,FECCandID
N00025219,"Burgess, Michael",R,TX26,H2TX26093
N00002221,"Burr, Richard",R,NCS2,S4NC00089
N00033390,"Bustos, Cheri",D,IL17,H2IL17071
N00027035,"Butterfield, G K",D,NC01,H4NC01046
N00035380,"Byrne, Bradley",R,AL01,S0AL00206
N00007099,"Calvert, Ken",R,CA42,H2CA37023
N00007836,"Cantwell, Maria",D,WAS1,S8WA00194
N00009771,"Capito, Shelley Moore",R,WVS2,S4WV00159
N00037015,"Carbajal, Salud",D,CA24,H6CA24303
N00033373,"Cardenas, Tony",D,CA29,H2CA28113
N00001955,"Cardin, Ben",D,MDS1,S6MD03177
N00012508,"Carper, Tom",D,DES1,S8DE00079
N00029513,"Carson, Andre",D,IN07,H8IN07184
N00035346,"Carter, Buddy",R,GA01,H4GA01039
N00025095,"Carter, John",R,TX31,H2TX31044
N00034128,"Cartwright, Matt",D,PA08,H2PA17079
N00025882,"Case, Ed",D,HI01,H2HI02128
N00027503,"Casey, Bob",D,PAS2,S6PA00217
N00030245,"Cassidy, Bill",R,LAS1,S4LA00107
N00041338,"Casten, Sean",D,IL06,H8IL06139
N00027514,"Castor, Kathy",D,FL14,H6FL11126
N00033316,"Castro, Joaquin",D,TX20,H2TX35011
N00003689,"Chabot, Steve",R,OH01,H8OH01043
N00035504,"Cheney, Liz",R,WY01,H6WY00159
N00030600,"Chu, Judy",D,CA27,H0CA32101
N00032019,"Cicilline, David",D,RI01,H0RI01073
N00041464,"Cisneros, Gil",D,CA39,H8CA39174
N00035278,"Clark, Katherine",D,MA05,H4MA05084
N00026961,"Clarke, Yvette D",D,NY09,H4NY11138
N00012460,"Clay, William L Jr",D,MO01,H0MO01066
N00026790,"Cleaver, Emanuel",D,MO05,H4MO05234
N00042296,"Cline, Ben",R,VA06,H8VA06104
N00041882,"Cloud, Michael",R,TX27,H8TX27049
N00002408,"Clyburn, James E",D,SC06,H2SC02042
N00003225,"Cohen, Steve",D,TN09,H6TN09068
N00025726,"Cole, Tom",R,OK04,H2OK04055
N00036158,"Coleman, Bonnie",D,NJ12,H4NJ12149
N00001285,"Collins, Chris",R,NY27,H8NY29032
N00033518,"Collins, Doug",R,GA09,S0GA00567
N00000491,"Collins, Susan M",R,MES2,S6ME00159
N00038260,"Comer, James",R,KY01,H6KY01110
N00026041,"Conaway, Mike",R,TX11,H4TX19136
N00029891,"Connolly, Gerry",D,VA11,H8VA11062
N00034224,"Cook, Paul",R,CA08,H2CA08164
N00031820,"Coons, Chris",D,DES2,S0DE00092
N00003132,"Cooper, Jim",D,TN05,H2TN05131
N00024852,"Cornyn, John",R,TXS1,S2TX00106
N00037260,"Correa, Lou",D,CA46,H6CA46116
N00026341,"Costa, Jim",D,CA16,H4CA20082
N00033363,"Cotton, Tom",R,ARS1,S4AR00103
N00024842,"Courtney, Joe",D,CT02,H2CT02112
N00028122,"Cox, TJ",D,CA21,H8CA10167
N00037039,"Craig, Angie",D,MN02,H6MN02131
N00004614,"Cramer, Kevin",R,NDS2,S8ND00120
N00006267,"Crapo, Mike",R,IDS2,S8ID00027
N00030770,"Crawford, Rick",R,AR01,H0AR01083
N00042224,"Crenshaw, Dan",R,TX02,H8TX02166
N00002942,"Crist, Charlie",D,FL13,H6FL13205
N00040876,"Crow, Jason",D,CO06,H8CO06229
N00033085,"Cruz, Ted",R,TXS2,S2TX00312
N00024978,"Cuellar, Henry",D,TX28,H2TX23082
N00001971,"Cummings, Elijah E",D,MD07,H6MD07160
N00041400,"Cunningham, Joe",D,SC01,H8SC01116
N00041221,"Curtis, John",R,UT03,H8UT03238
N00033054,"Daines, Steven",R,MTS2,S2MT00096
N00042626,"Davids, Sharice",D,KS03,H8KS03155
N00038767,"Davidson, Warren",R,OH08,H6OH08315
N00004884,"Davis, Danny K",D,IL07,H4IL07037
N00034784,"Davis, Rodney",R,IL13,H2IL13120
N00009604,"Davis, Susan",D,CA53,H0CA49055
N00042894,"Dean, Madeleine",D,PA04,H8PA04116
N00007781,"DeFazio, Peter",D,OR04,H6OR04047
N00006134,"DeGette, Diana",D,CO01,H6CO01141
N00000615,"DeLauro, Rosa L",D,CT03,H0CT03072
N00030693,"DelBene, Suzan",D,WA01,H0WA08046
N00040741,"Delgado, Antonio",D,NY19,H8NY19181
N00033449,"Demings, Val",D,FL10,H2FL08063
N00030709,"Desaulnier, Mark",D,CA11,H0CA10073
N00030957,"Desjarlais, Scott",R,TN04,H0TN04195
N00031317,"Deutch, Ted",D,FL22,H0FL19080
N00025337,"Diaz-Balart, Mario",R,FL25,H2FL25018
N00036149,"Dingell, Debbie",D,MI12,H4MI12079
N00006023,"Doggett, Lloyd",D,TX35,H4TX10028
N00001373,"Doyle, Mike",D,PA18,H4PA18131
N00027860,"Duckworth, Tammy",D,ILS2,S6IL00292
N00030967,"Duffy, Sean P",R,WI07,H0WI07051
N00030752,"Duncan, Jeff",R,SC03,H0SC03077
N00037442,"Dunn, Neal",R,FL02,H6FL02208
N00004981,"Durbin, Dick",D,ILS1,S6IL00151
N00035440,"Emmer, Tom",R,MN06,H4MN06087
N00001003,"Engel, Eliot",D,NY16,H8NY19058
N00006249,"Enzi, Mike",R,WYS2,S6WY00126
N00035483,"Ernst, Joni",R,IAS2,S4IA00129
N00041702,"Escobar, Veronica",D,TX16,H8TX16109
N00007335,"Eshoo, Anna",D,CA18,H8CA12098
N00034549,"Espaillat, Adriano",D,NY13,H2NY13096
N00040712,"Estes, Ron",R,KS04,H8KS04112
N00038450,"Evans, Dwight",D,PA03,H6PA02171
N00007364,"Feinstein, Dianne",D,CAS2,S0CA00199
N00039090,"Ferguson, Drew",R,GA03,H6GA03113
N00040888,"Finkenauer, Abby",D,IA01,H8IA01094
N00033443,"Fischer, Deb",R,NES1,S2NE00094
N00038779,"Fitzpatrick, Brian",R,PA01,H6PA08277
N00030815,"Fleischmann, Chuck",R,TN03,H0TN03254
N00041194,"Fletcher, Lizzie",D,TX07,H8TX07140
N00031545,"Flores, Bill",R,TX17,H0TX17104
N00026631,"Fortenberry, Jeff",R,NE01,H4NE01064
N00029139,"Foster, Bill",D,IL11,H8IL14067
N00026166,"Foxx, Virginia",R,NC05,H4NC05146
N00002893,"Frankel, Lois J",D,FL21,H2FL14053
N00030490,"Fudge, Marcia L",D,OH11,H8OH11141
N00041335,"Fulcher, Russ",R,ID01,H8ID01124
N00033281,"Gabbard, Tulsi",D,HI02,P00009183
N00039503,"Gaetz, Matt",R,FL01,H6FL01119
N00039330,"Gallagher, Mike",R,WI08,H6WI08155
N00036097,"Gallego, Ruben",D,AZ07,H4AZ07043
N00030856,"Garamendi, John",D,CA03,H0CA10149
N00042114,"Garcia, Jesus",D,IL04,H8IL04134
N00044298,"Garcia, Mike",R,CA25,H0CA25105
N00042282,"Garcia, Sylvia",D,TX29,H8TX29052
N00030780,"Gardner, Cory",R,COS2,S4CO00395
N00040733,"Gianforte, Greg",R,MT01,H8MT01182
N00031128,"Gibbs, Bob",R,OH07,H0OH18077
N00027658,"Gillibrand, Kirsten",D,NYS1,S0NY00410
N00026148,"Gohmert, Louis B Jr",R,TX01,H4TX04039
N00041668,"Golden, Jared",D,ME02,H8ME02185
N00040597,"Gomez, Jimmy",D,CA34,H8CA34266
N00041690,"Gonzalez, Anthony",R,OH16,H8OH16124
N00037615,"Gonzalez, Jenniffer",3,PR00,H6PR00082
N00038809,"Gonzalez, Vicente",D,TX15,H6TX15162
N00042237,"Gooden, Lance",R,TX05,H8TX05144
N00030771,"Gosar, Paul",R,AZ04,H0AZ01259
N00036944,"Gottheimer, Josh",D,NJ05,H6NJ05171
N00009975,"Graham, Lindsey",R,SCS2,S0SC00149
N00008799,"Granger, Kay",R,TX12,H6TX12060
N00001758,"Grassley, Chuck",R,IAS1,S0IA00028
N00036135,"Graves, Garret",R,LA06,H4LA06153
N00013323,"Graves, Sam",R,MO06,H0MO06073
N00030788,"Graves, Tom",R,GA14,H0GA09030
N00026686,"Green, Al",D,TX09,H4TX09095
N00041873,"Green, Mark",R,TN07,H8TN07076
N00032029,"Griffith, Morgan",R,VA09,H0VA09055
N00025284,"Grijalva, Raul M",D,AZ03,H2AZ07070
N00036409,"Grothman, Glenn S",R,WI06,H4WI06048
N00042458,"Guest, Michael Patrick",R,MS03,H8MS03125
N00029675,"Guthrie, Brett",R,KY02,H8KY02031
N00040933,"Haaland, Debra",D,NM01,H8NM01331
N00031390,"Hagedorn, Jim",R,MN01,H0MN01045
N00040853,"Harder, Josh",D,CA10,H8CA10126
N00029147,"Harris, Andy",R,MD01,H8MD01094
N00036915,"Harris, Kamala",D,CAS1,S6CA00584
N00031005,"Hartzler, Vicky",R,MO04,H0MO04086
N00038397,"Hassan, Maggie",D,NHS1,S6NH00091
N00002884,"Hastings, Alcee L",D,FL20,H2FL23021
N00041620,"Hawley, Josh",R,MOS2,S8MO00160
N00043421,"Hayes, Jahana",D,CT05,H8CT05245
N00031557,"Heck, Dennis",D,WA10,H0WA03161
N00029835,"Heinrich, Martin",D,NMS1,S2NM00088
N00040829,"Hern, Kevin",R,OK01,H8OK01157
N00032243,"Hice, Jody",R,GA10,H0GA07125
N00027060,"Higgins, Brian M",D,NY26,H4NY27076
N00039953,"Higgins, Clay",R,LA03,H6LA03148
N00035792,"Hill, French",R,AR02,H4AR02141
N00040644,"Hill, Katie",D,CA25,H8CA25074
N00029070,"Himes, Jim",D,CT04,H8CT04172
N00028139,"Hirono, Mazie K",D,HIS2,S2HI00106
N00031688,"Hoeven, John",R,NDS1,S0ND00093
N00033399,"Holding, George",R,NC02,H2NC13110
N00038429,"Hollingsworth, Trey",R,IN09,H6IN09176
N00041394,"Horn, Kendra",D,OK05,H8OK05109
N00033638,"Horsford, Steven",D,NV04,H2NV04011
N00040949,"Houlahan, Chrissy",D,PA06,H8PA06087
N00001821,"Hoyer, Steny H",D,MD05,H2MD05155
N00033630,"Hudson, Richard",R,NC08,H2NC08185
N00033030,"Huffman, Jared",D,CA02,H2CA06259
N00030673,"Huizenga, Bill",R,MI02,H0MI02094
N00029258,"Hunter, Duncan D",R,CA50,H8CA52052
N00031417,"Hurd, Will",R,TX23,H0TX23086
N00043298,"Hyde-Smith, Cindy",R,MSS1,S8MS00261
N00005582,"Inhofe, James M",R,OKS2,S4OK00083
N00002593,"Isakson, Johnny",R,GAS2,S6GA00119
N00005818,"Jackson Lee, Sheila",D,TX18,H4TX18054
N00044575,"Jacobs, Chris",R,NY27,H0NY27090
N00038858,"Jayapal, Pramila",D,WA07,H6WA07458
N00033640,"Jeffries, Hakeem",D,NY08,H2NY10092
N00032088,"Johnson, Bill",R,OH06,H0OH06189
N00040559,"Johnson, Dusty",R,SD01,H8SD01055
N00008122,"Johnson, Eddie Bernice",D,TX30,H2TX00015
N00027848,"Johnson, Hank",D,GA04,H6GA04129
N00039106,"Johnson, Mike",R,LA04,H6LA04138
N00032546,"Johnson, Ron",R,WIS2,S0WI00197
N00024817,"Jones, Doug",D,ALS1,S0AL00156
N00002299,"Jones, Walter B Jr",R,NC03,H2NC01081
N00027894,"Jordan, Jim",R,OH04,H6OH04082
N00035007,"Joyce, David P",R,OH14,H2OH14064
N00043242,"Joyce, John",R,PA13,H8PA13125
N00033177,"Kaine, Tim",D,VAS1,S2VA00142
N00003522,"Kaptur, Marcy",D,OH09,H2OH09031
N00035934,"Katko, John",R,NY24,H4NY24073
N00031933,"Keating, Bill",D,MA09,H0MA10082
N00044065,"Keller, Fred",R,PA12,H9PA12018
N00031647,"Kelly, Mike",R,PA16,H0PA03271
N00035215,"Kelly, Robin",D,IL02,H2IL02172
N00037003,"Kelly, Trent",R,MS01,H6MS01131
N00034044,"Kennedy, Joe III",D,MA04,S0MA00208
N00026823,"Kennedy, John",R,LAS2,S4LA00065
N00026427,"Khanna, Ro",D,CA17,H4CA12055
N00033395,"Kildee, Dan",D,MI05,H2MI05119
N00034453,"Kilmer, Derek",D,WA06,H2WA06129
N00041370,"Kim, Andy",D,NJ03,H8NJ03206
N00004403,"Kind, Ron",D,WI03,H6WI03099
N00034580,"King, Angus",I,MES1,S2ME00109
N00001193,"King, Pete",R,NY02,H2NY03089
N00025237,"King, Steven A",R,IA04,H2IA05072
N00030667,"Kinzinger, Adam",R,IL16,H0IL11052
N00029260,"Kirkpatrick, Ann",D,AZ02,H8AZ01104
N00027500,"Klobuchar, Amy",D,MNS2,S6MN00267
N00033240,"Krishnamoorthi, Raja",D,IL08,H6IL08147
N00030875,"Kuster, Ann",D,NH02,H0NH02181
N00025445,"Kustoff, David",R,TN08,H2TN07103
N00037031,"LaHood, Darin",R,IL18,H6IL18088
N00033987,"LaMalfa, Doug",R,CA01,H2CA02142
N00041870,"Lamb, Conor",D,PA17,H8PA18181
N00028133,"Lamborn, Douglas L",R,CO05,H6CO05159
N00009724,"Langevin, Jim",D,RI02,H0RI02139
N00031129,"Lankford, James",R,OKS1,S4OK00232
N00009759,"Larsen, Rick",D,WA02,H0WA02080
N00000575,"Larson, John B",D,CT01,H8CT01046
N00012233,"Latta, Robert E",R,OH05,H8OH05036
N00034068,"Lawrence, Brenda",D,MI14,H2MI14111
N00030642,"Lawson, Al",D,FL05,H0FL02086
N00009918,"Leahy, Patrick",D,VTS2,S4VT00017
N00008046,"Lee, Barbara",D,CA13,H8CA09060
N00031696,"Lee, Mike",R,UTS2,S0UT00165
N00037247,"Lee, Susie",D,NV03,H6NV04020
N00042056,"Lesko, Debbie",R,AZ08,H8AZ08158
N00042149,"Levin, Andy",D,MI09,H8MI09118
N00040667,"Levin, Mike",D,CA49,H8CA49058
N00002577,"Lewis, John",D,GA05,H6GA05217
N00035825,"Lieu, Ted",D,CA33,H4CA33119
N00027239,"Lipinski, Daniel",D,IL03,H4IL03077
N00027741,"Loebsack, David",D,IA02,H6IA02146
N00046125,"Loeffler, Kelly",R,GAS2,S0GA00526
N00007479,"Lofgren, Zoe",D,CA19,H4CA16049
N00030676,"Long, Billy",R,MO07,H0MO07113
N00035347,"Loudermilk, Barry",R,GA11,H4GA11061
N00033274,"Lowenthal, Alan",D,CA47,H2CA00104
N00001024,"Lowey, Nita M",D,NY17,H8NY20056
N00005559,"Lucas, Frank D",R,OK03,H4OK06056
N00030026,"Luetkemeyer, Blaine",R,MO03,H8MO09153
N00029562,"Lujan, Ben Ray",D,NM03,S0NM00058
N00042293,"Luria, Elaine",D,VA02,H8VA02111
N00013855,"Lynch, Stephen F",D,MA08,H2MA09072
N00041843,"Malinowski, Tom",D,NJ07,H8NJ07223
N00000078,"Maloney, Carolyn B",D,NY12,H2NY14037
N00034277,"Maloney, Sean Patrick",D,NY18,H2NY22139
N00032838,"Manchin, Joe",D,WVS1,S0WV00090
N00026710,"Marchant, Kenny",R,TX24,H4TX24094
N00031777,"Marino, Tom",R,PA12,H0PA10078
N00000270,"Markey, Ed",D,MAS2,S4MA00028
N00037034,"Marshall, Roger",R,KS01,S0KS00315
N00034041,"Massie, Thomas",R,KY04,H2KY04121
N00037269,"Mast, Brian",R,FL18,H6FL18097
N00037161,"Masto, Catherine Cortez",D,NVS2,S6NV00200
N00027459,"Matsui, Doris",D,CA06,H6CA05195
N00042013,"McAdams, Ben",D,UT04,H8UT04053
N00042813,"McBath, Lucy",D,GA06,H8GA06393
N00028152,"McCarthy, Kevin",R,CA23,H6CA22125
N00026460,"McCaul, Michael",R,TX10,H4TX10093
N00006863,"McClintock, Tom",R,CA04,H8CA04152
N00012942,"McCollum, Betty",D,MN04,H0MN04049
N00003389,"McConnell, Mitch",R,KYS1,S2KY00012
N00039327,"McEachin, Donald",D,VA04,H6VA04061
N00000179,"McGovern, James P",D,MA02,H4MA03022
N00026627,"McHenry, Patrick",R,NC10,H4NC10047
N00031681,"McKinley, David",R,WV01,H0WV01072
N00026926,"McNerney, Jerry",D,CA09,H4CA11081
N00033982,"McSally, Martha",R,AZS1,S8AZ00221
N00033631,"Meadows, Mark",R,NC11,H2NC11080
N00001171,"Meeks, Gregory W",D,NY05,H8NY06048
N00000699,"Menendez, Robert",D,NJS1,S6NJ00289
N00034547,"Meng, Grace",D,NY06,H2NY06116
N00029303,"Merkley, Jeff",D,ORS1,S8OR00207
N00029416,"Meuser, Dan",R,PA09,H8PA10147
N00001799,"Mfume, Kweisi",D,MD07,H0MD07114
N00041542,"Miller, Carol",R,WV03,H8WV03097
N00036274,"Mitchell, Paul",R,MI10,H4MI04118
N00036275,"Moolenaar, John",R,MI04,H4MI04126
N00033814,"Mooney, Alex",R,WV02,H4WV02080
N00026914,"Moore, Gwen",D,WI04,H4WI04183
N00005282,"Moran, Jerry",R,KSS2,S0KS00091
N00043207,"Morelle, Joseph D",D,NY25,H8NY25105
N00035431,"Moulton, Seth",D,MA06,H4MA06090
N00041561,"Mucarsel-Powell, Debbie",D,FL26,H8FL26039
N00033410,"Mullin, Markwayne",R,OK02,H2OK02083
N00026050,"Murkowski, Lisa",R,AKS2,S4AK00099
N00027566,"Murphy, Christopher S",D,CTS1,S2CT00132
N00044027,"Murphy, Greg",R,NC03,H0NC03172
N00040133,"Murphy, Stephanie",D,FL07,H6FL07140
N00007876,"Murray, Patty",D,WAS2,S2WA00189
N00000939,"Nadler, Jerrold",D,NY10,H2NY17071
N00006789,"Napolitano, Grace",D,CA32,H8CA34068
N00000153,"Neal, Richard E",D,MA01,H8MA02041
N00041080,"Neguse, Joseph",D,CO02,H8CO02160
N00036403,"Newhouse, Dan",R,WA04,H4WA04104
N00036154,"Norcross, Don",D,NJ01,H4NJ01084
N00027783,"Norman, Ralph",R,SC05,H8SC05158
N00001692,"Norton, Eleanor Holmes",D,DC00,H0DC00058
N00007248,"Nunes, Devin",R,CA22,H8CA20059
N00037515,"O'Halleran, Tom",D,AZ01,H6AZ01199
N00041162,"Ocasio-Cortez, Alexandria",D,NY14,H8NY15148
N00029285,"Olson, Pete",R,TX22,H8TX22107
N00043581,"Omar, Ilhan",D,MN05,H8MN05239
N00031958,"Palazzo, Steven",R,MS04,H0MS04120
N00000781,"Pallone, Frank Jr",D,NJ06,H8NJ03073
N00035691,"Palmer, Gary",R,AL06,H4AL06098
N00038601,"Panetta, Jimmy",D,CA20,H6CA20152
N00042161,"Pappas, Chris",D,NH01,H8NH01210
N00000751,"Pascrell, Bill Jr",D,NJ09,H6NJ08118
N00030836,"Paul, Rand",R,KYS2,S0KY00156
N00034639,"Payne, Donald M Jr",D,NJ10,H2NJ10154
N00007360,"Pelosi, Nancy",D,CA12,H8CA05035
N00041956,"Pence, Greg",R,IN06,H8IN06129
N00035516,"Perdue, David",R,GAS1,S4GA11285
N00027510,"Perlmutter, Ed",D,CO07,H6CO07023
N00034120,"Perry, Scott",R,PA10,H2PA04135
N00029277,"Peters, Gary",D,MIS1,S4MI00355
N00033591,"Peters, Scott",D,CA52,H2CA52089
N00004558,"Peterson, Collin",D,MN07,H2MN07014
N00041134,"Phillips, Dean",D,MN03,H8MN03143
N00013817,"Pingree, Chellie",D,ME01,H8ME01120
N00035000,"Plaskett, Stacey",D,VI00,H2VI00082
N00033549,"Pocan, Mark",D,WI02,H2WI02124
N00040865,"Porter, Katie",D,CA45,H8CA45130
N00003682,"Portman, Rob",R,OHS2,S0OH00133
N00029662,"Posey, Bill",R,FL08,H8FL15107
N00042581,"Pressley, Ayanna",D,MA07,H8MA07032
N00002260,"Price, David",D,NC04,H6NC04037
N00030581,"Quigley, Mike",D,IL05,H0IL05096
N00007635,"Radewagen, Amata Coleman",R,AS00,H4AS00036
N00037036,"Raskin, Jamie",D,MD08,H6MD08457
N00035972,"Ratcliffe, John",R,TX04,H4TX04153
N00000362,"Reed, Jack",D,RIS2,S6RI00163
N00030949,"Reed, Tom",R,NY23,H0NY29054
N00041871,"Reschenthaler, Guy",R,PA14,H8PA18199
N00035927,"Rice, Kathleen",D,NY04,H4NY04075
N00033832,"Rice, Tom",R,SC07,H2SC07066
N00030184,"Richmond, Cedric",D,LA02,H8LA02054
N00043541,"Riggleman, Denver",R,VA05,H8VA05171
N00029441,"Risch, James E",R,IDS1,S8ID00092
N00005285,"Roberts, Pat",R,KSS1,S6KS00080
N00030768,"Roby, Martha",R,AL02,H0AL02087
N00038414,"Rochester, Lisa Blunt",D,DE01,H6DE00206
N00026314,"Rodgers, Cathy McMorris",R,WA05,H4WA05077
N00028463,"Roe, Phil",R,TN01,H6TN01388
N00003473,"Rogers, Hal",R,KY05,H0KY05015
N00024759,"Rogers, Mike D",R,AL03,H2AL03032
N00000286,"Romney, Mitt",R,UTS1,S8UT00176
N00040007,"Rooney, Francis",R,FL19,H6FL19087
N00041599,"Rose, John",R,TN06,H8TN06094
N00041588,"Rose, Max",D,NY11,H8NY11113
N00038734,"Rosen, Jacky",D,NVS1,S8NV00156
N00040666,"Rouda, Harley",D,CA48,H8CA48035
N00035187,"Rounds, Mike",R,SDS2,S4SD00049
N00033527,"Rouzer, David",R,NC07,H2NC07096
N00042268,"Roy, Chip",R,TX21,H8TX21307
N00006671,"Roybal-Allard, Lucille",D,CA40,H2CA33048
N00030612,"Rubio, Marco",R,FLS2,S0FL00338
N00033510,"Ruiz, Raul",D,CA36,H2CA36439
N00025482,"Ruppersberger, Dutch",D,MD02,H2MD02160
N00004887,"Rush, Bobby L",D,IL01,H2IL01042
N00039777,"Rutherford, John",R,FL04,H6FL04105
N00025280,"Ryan, Tim",D,OH13,H2OH17109
N00030418,"Sablan, Gregorio",I,MP00,H8MP00041
N00042619,"San Nicolas, Michael",D,GU00,H8GU01020
N00024870,"Sanchez, Linda",D,CA38,H2CA39078
N00000528,"Sanders, Bernie",I,VTS1,S4VT00033
N00027751,"Sarbanes, John",D,MD03,H6MD03292
N00035544,"Sasse, Ben",R,NES2,S4NE00090
N00009660,"Scalise, Steve",R,LA01,H0LA01087
N00042706,"Scanlon, Mary Gay",D,PA05,H8PA07200
N00004724,"Schakowsky, Jan",D,IL09,H8IL09067
N00028138,"Schatz, Brian",D,HIS1,S4HI00136
N00009585,"Schiff, Adam",D,CA28,H0CA27085
N00033101,"Schneider, Brad",D,IL10,H2IL10068
N00030071,"Schrader, Kurt",D,OR05,H8OR05107
N00041606,"Schrier, Kim",D,WA08,H8WA08189
N00026106,"Schultz, Debbie Wasserman",D,FL23,H4FL20023
N00001093,"Schumer, Charles E",D,NYS2,S8NY00082
N00006460,"Schweikert, David",R,AZ06,H4AZ06045
N00032457,"Scott, Austin",R,GA08,H0GA08099
N00002147,"Scott, Bobby",D,VA03,H6VA01117
N00024871,"Scott, David",D,GA13,H2GA13012
N00043290,"Scott, Rick",R,FLS1,S8FL00273
N00031782,"Scott, Tim",R,SCS1,S4SC00240
N00004291,"Sensenbrenner, Jim",R,WI05,H8WI09050
N00001813,"Serrano, Jose E",D,NY15,H0NY18065
N00030622,"Sewell, Terri A",D,AL07,H0AL07086
N00024790,"Shaheen, Jeanne",D,NHS2,S0NH00219
N00042811,"Shalala, Donna",D,FL27,H8FL27193
N00009920,"Shelby, Richard C",R,ALS2,S6AL00013
N00006897,"Sherman, Brad",D,CA30,H6CA24113
N00041154,"Sherrill, Mikie",D,NJ11,H8NJ11142
N00004961,"Shimkus, John",R,IL15,H2IL20042
N00006263,"Simpson, Mike",R,ID02,H8ID02064
N00033983,"Sinema, Kyrsten",D,AZS2,S8AZ00197
N00027523,"Sires, Albio",D,NJ08,H6NJ13191
N00041357,"Slotkin, Elissa",D,MI08,H8MI08102
N00042467,"Small, Xochitl Torres",D,NM02,H8NM02248
N00007833,"Smith, Adam",D,WA09,H6WA09025
N00027623,"Smith, Adrian",R,NE03,H6NE03115
N00009816,"Smith, Chris",R,NJ04,H8NJ04014
N00035282,"Smith, Jason",R,MO08,H4MO08162
N00042353,"Smith, Tina",D,MNS1,S8MN00578
N00038781,"Smucker, Lloyd",R,PA11,H6PA16320
N00037422,"Soto, Darren",D,FL09,H6FL09179
N00041418,"Spanberger, Abigail",D,VA07,H8VA07094
N00043319,"Spano, Ross",R,FL15,H8FL15230
N00029649,"Speier, Jackie",D,CA14,H8CA12171
N00004118,"Stabenow, Debbie",D,MIS2,S8MI00281
N00041750,"Stanton, Greg",D,AZ09,H8AZ09040
N00041511,"Stauber, Pete",R,MN08,H8MN08043
N00035523,"Stefanik, Elise",R,NY21,H4NY21079
N00043379,"Steil, Bryan",R,WI01,H8WI01156
N00042808,"Steube, Greg",R,FL17,H8FL17053
N00040915,"Stevens, Haley",D,MI11,H8MI11254
N00033932,"Stewart, Chris",R,UT02,H2UT02324
N00029574,"Stivers, Steve",R,OH15,H8OH15076
N00035774,"Sullivan, Dan",R,AKS1,S4AK00214
N00038742,"Suozzi, Tom",D,NY03,H6NY03247
