A0000	Agriculture	A11	Misc Agriculture	Agribusiness	Agribusiness		A
E1110	Major (multinational) oil & gas producers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1120	Independent oil & gas producers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1140	Natural Gas transmission & distribution	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1150	"Oilfield service, equipment & exploration"	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1160	Petroleum refining & marketing	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1170	Gasoline service stations	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1180	Fuel oil dealers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1190	LPG/Liquid Propane dealers & producers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
E1200	Mining	E04	Mining	Energy/Nat Resource	Energy & Natural Resources		E
E1210	Coal mining	E04	Mining	Energy/Nat Resource	Energy & Natural Resources		E
E1220	Metal mining & processing	E04	Mining	Energy/Nat Resource	Energy & Natural Resources		E
E1230	Non-metallic mining	E04	Mining	Energy/Nat Resource	Energy & Natural Resources		E
E1240	Mining services & equipment	E04	Mining	Energy/Nat Resource	Energy & Natural Resources		E
E1300	Nuclear energy	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources		E
E1320	"Nuclear plant construction, equipment & svcs"	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources		E
E1500	Alternate energy production & services	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources		E
E1600	Electric Power utilities	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources		E
E1610	Rural electric cooperatives	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources		E
E1620	Gas & Electric Utilities	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources		E
E1630	Independent power generation & cogeneration	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources		E
E1700	Power plant construction & equipment	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources		E
E2000	"Environmental services, equipment & consulting"	E09	Environmental Svcs/Equipment	Energy/Nat Resource	Energy & Natural Resources		E
E3000	Waste management	E10	Waste Management	Energy/Nat Resource	Energy & Natural Resources		E
E4000	Fisheries & wildlife	E11	Fisheries & Wildlife	Energy/Nat Resource	Energy & Natural Resources		E
E4100	Fishing	E11	Fisheries & Wildlife	Energy/Nat Resource	Energy & Natural Resources		E
E4200	Hunting & wildlife	E11	Fisheries & Wildlife	Energy/Nat Resource	Energy & Natural Resources		E
E5000	Water Utilities	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources		E
F0000	"Finance, Insurance & Real Estate"	F13	Misc Finance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F1000	Banks & lending institutions	F03	Commercial Banks	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F1100	Commercial banks & bank holding companies	F03	Commercial Banks	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F1200	Savings banks & Savings and Loans	F04	Savings & Loans	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F1300	Credit unions	F05	Credit Unions	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F1400	Credit agencies & finance companies	F06	Finance/Credit Companies	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F1410	Student loan companies	F06	Finance/Credit Companies	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F1420	Payday lenders	F06	Finance/Credit Companies	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2000	"Securities, commodities & investment"	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2100	Security brokers & investment companies	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2110	Discount & Online Brokers	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2200	Commodity brokers/dealers	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2300	Investment banking	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2400	Stock exchanges	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2500	Venture capital	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2600	Private Equity & Investment Firms	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F2700	Hedge Funds	F07	Securities & Investment	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F3000	Insurance	F09	Insurance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F3100	"Insurance companies, brokers & agents"	F09	Insurance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F3200	Accident & health insurance	F09	Insurance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F3300	Life insurance	F09	Insurance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F3400	Property & casualty insurance	F09	Insurance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4000	Real estate	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4100	Real Estate developers & subdividers	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4200	Real estate agents	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4300	Title insurance & title abstract offices	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4400	Mobile home dealers & parks	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4500	Building operators and managers	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4600	Mortgage bankers and brokers	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F4700	Other real estate services	F10	Real Estate	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F5000	Financial services & consulting	F13	Misc Finance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F5100	Accountants	F11	Accountants	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F5200	Credit reporting services & collection agencies	F13	Misc Finance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F5300	Tax return services	F13	Misc Finance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F5500	Other financial services	F13	Misc Finance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
F7000	Investors	F13	Misc Finance	Finance/Insur/RealEst	"Finance, Insurance & Real Estate"		F
G0000	General commerce	N12	Misc Business	Misc Business	Misc Business		N
G1000	General business associations	N00	Business Associations	Misc Business	Misc Business		N
G1100	Chambers of commerce	N00	Business Associations	Misc Business	Misc Business		N
G1200	Small business associations	N00	Business Associations	Misc Business	Misc Business		N
G1300	Pro-business associations	N00	Business Associations	Misc Business	Misc Business		N
G1310	Business tax coalitions	N00	Business Associations	Misc Business	Misc Business		N
G1400	International trade associations	N00	Business Associations	Misc Business	Misc Business		N
G2000	Food & Beverage Products and Services	A09	Food Processing & Sales	Agribusiness	Agribusiness		A
G2100	Food and kindred products manufacturing	A09	Food Processing & Sales	Agribusiness	Agribusiness		A
G2110	Artificial sweeteners and food additives	N01	Food & Beverage	Misc Business	Misc Business		N
G2200	Confectionery processors & manufacturers	N01	Food & Beverage	Misc Business	Misc Business		N
G2300	Meat processing & products	A09	Food Processing & Sales	Agribusiness	Agribusiness		A
G2350	Fish Processing	N01	Food & Beverage	Misc Business	Misc Business		N
G2400	Food stores	A09	Food Processing & Sales	Agribusiness	Agribusiness		A
G2500	Food wholesalers	A09	Food Processing & Sales	Agribusiness	Agribusiness		A
G2600	Beverages (non-alcoholic)	N01	Food & Beverage	Misc Business	Misc Business		N
G2700	Beverage bottling & distribution	N01	Food & Beverage	Misc Business	Misc Business		N
G2800	Alcohol	N02	"Beer, Wine & Liquor"	Misc Business	Misc Business		N
G2810	Beer	N02	"Beer, Wine & Liquor"	Misc Business	Misc Business		N
G2820	Wine & distilled spirits manufacturing	N02	"Beer, Wine & Liquor"	Misc Business	Misc Business		N
G2840	Liquor stores	N02	"Beer, Wine & Liquor"	Misc Business	Misc Business		N
G2850	Liquor wholesalers	N02	"Beer, Wine & Liquor"	Misc Business	Misc Business		N
G2860	"Marijuana Production, Sales & Paraphernalia"	N09	Marijuana	Misc Business	Misc Business		N
G2900	Restaurants & drinking establishments	N01	Food & Beverage	Misc Business	Misc Business		N
G2910	Food catering & food services	N01	Food & Beverage	Misc Business	Misc Business		N
G3000	Wholesale trade	N12	Misc Business	Misc Business	Misc Business		N
G3500	Import/Export services	N12	Misc Business	Misc Business	Misc Business		N
G4000	Retail trade	N03	Retail Sales	Misc Business	Misc Business		N
G4100	Apparel & accessory stores	N03	Retail Sales	Misc Business	Misc Business		N
G4200	Consumer electronics & computer stores	N03	Retail Sales	Misc Business	Misc Business		N
G4300	"Department, variety & convenience stores"	N03	Retail Sales	Misc Business	Misc Business		N
G4400	Furniture & appliance stores	N03	Retail Sales	Misc Business	Misc Business		N
G4500	Hardware & building materials stores	N03	Retail Sales	Misc Business	Misc Business		N
G4600	Miscellaneous retail stores	N03	Retail Sales	Misc Business	Misc Business		N
G4700	Catalog & mail order houses	N03	Retail Sales	Misc Business	Misc Business		N
G4800	Direct sales	N03	Retail Sales	Misc Business	Misc Business		N
G4850	Vending Machine Sales & Services	N03	Retail Sales	Misc Business	Misc Business		N
G4900	Drug stores	N03	Retail Sales	Misc Business	Misc Business		N
G5000	Services	N04	Misc Services	Misc Business	Misc Business		N
G5100	Beauty & barber shops	N04	Misc Services	Misc Business	Misc Business		N
G5200	Business services	N05	Business Services	Misc Business	Misc Business		N
G5210	Advertising & public relations services	N05	Business Services	Misc Business	Misc Business		N
G5220	Direct mail advertising services	N05	Business Services	Misc Business	Misc Business		N
G5230	Outdoor advertising services	N05	Business Services	Misc Business	Misc Business		N
G5240	"Commercial photography, art & graphic design"	N05	Business Services	Misc Business	Misc Business		N
G5250	Employment agencies	N05	Business Services	Misc Business	Misc Business		N
G5260	Political consultants/advisers	N05	Business Services	Misc Business	Misc Business		N
G5270	Management consultants & services	N05	Business Services	Misc Business	Misc Business		N
G5280	Marketing research services	N05	Business Services	Misc Business	Misc Business		N
G5290	Security services	N05	Business Services	Misc Business	Misc Business		N
G5300	Equipment rental & leasing	N04	Misc Services	Misc Business	Misc Business		N
G5400	Funeral services	N04	Misc Services	Misc Business	Misc Business		N
G5500	Laundries & dry cleaners	N04	Misc Services	Misc Business	Misc Business		N
G5600	Miscellaneous repair services	N04	Misc Services	Misc Business	Misc Business		N
G5700	Pest control	N04	Misc Services	Misc Business	Misc Business		N
G5800	Physical fitness centers	N04	Misc Services	Misc Business	Misc Business		N
G6000	Recreation/Entertainment	N06	Recreation/Live Entertainment	Misc Business	Misc Business		N
G6100	Amusement/recreation centers	N06	Recreation/Live Entertainment	Misc Business	Misc Business		N
G6400	"Professional sports, arenas & related equip & svcs"	N06	Recreation/Live Entertainment	Misc Business	Misc Business		N
G6500	"Casinos, racetracks & gambling"	N07	Casinos/Gambling	Misc Business	Misc Business		N
G6550	Indian Gaming	N07	Casinos/Gambling	Misc Business	Misc Business		N
G6700	Amusement parks	N06	Recreation/Live Entertainment	Misc Business	Misc Business		N
G6800	Video rental	N04	Misc Services	Misc Business	Misc Business		N
G7000	Correctional facilities constr & mgmt/for-profit	N12	Misc Business	Misc Business	Misc Business		N
H0000	"Health, Education & Human Resources"	H05	Misc Health	Health	Health		H
H1000	Health professionals	H01	Health Professionals	Health	Health		H
H1100	Physicians	H01	Health Professionals	Health	Health		H
H1110	Psychiatrists & psychologists	H01	Health Professionals	Health	Health		H
H1120	Optometrists & Ophthalmologists	H01	Health Professionals	Health	Health		H
H1130	Other physician specialists	H01	Health Professionals	Health	Health		H
H1400	Dentists	H01	Health Professionals	Health	Health		H
H1500	Chiropractors	H01	Health Professionals	Health	Health		H
H1700	Other non-physician health practitioners	H01	Health Professionals	Health	Health		H
H1710	Nurses	H01	Health Professionals	Health	Health		H
H1750	Pharmacists	H01	Health Professionals	Health	Health		H
H2000	Health care institutions	H02	Hospitals/Nursing Homes	Health	Health		H
H2100	Hospitals	H02	Hospitals/Nursing Homes	Health	Health		H
H2200	Nursing homes	H02	Hospitals/Nursing Homes	Health	Health		H
H2300	Drug & alcohol treatment hospitals	H02	Hospitals/Nursing Homes	Health	Health		H
H3000	Health care services	H03	Health Services/HMOs	Health	Health		H
H3100	Home care services	H03	Health Services/HMOs	Health	Health		H
H3200	Outpatient health services (incl drug & alcohol)	H03	Health Services/HMOs	Health	Health		H
H3300	Optical services (glasses & contact lenses)	H03	Health Services/HMOs	Health	Health		H
H3400	Medical laboratories	H03	Health Services/HMOs	Health	Health		H
H3500	AIDS treatment & testing	H03	Health Services/HMOs	Health	Health		H
H3700	HMOs	H03	Health Services/HMOs	Health	Health		H
H3800	Mental Health Services	H03	Health Services/HMOs	Health	Health		H
H3900	Health care Consultants	H03	Health Services/HMOs	Health	Health		H
H4000	Health care products	H04	Pharmaceuticals/Health Products	Health	Health		H
H4100	Medical Devices & Supplies	H04	Pharmaceuticals/Health Products	Health	Health		H
H4200	Personal health care products	H04	Pharmaceuticals/Health Products	Health	Health		H
H4300	Pharmaceutical manufacturing	H04	Pharmaceuticals/Health Products	Health	Health		H
H4400	Pharmaceutical wholesale	H04	Pharmaceuticals/Health Products	Health	Health		H
H4500	Biotech products & research	H04	Pharmaceuticals/Health Products	Health	Health		H
H4600	Nutritional & dietary supplements	H04	Pharmaceuticals/Health Products	Health	Health		H
H4700	Pharmaceutical cannabis	H04	Pharmaceuticals/Health Products	Health	Health		H
H5000	Education	W04	Education	Other	Other		W
H5100	Schools & colleges	W04	Education	Other	Other		W
H5150	Medical schools	W04	Education	Other	Other		W
H5170	Law schools	W04	Education	Other	Other		W
H5200	"Technical, business and vocational schools & svcs"	W04	Education	Other	Other		W
H5300	For-profit Education	W04	Education	Other	Other		W
H6000	Welfare & Social Work	W07	Other	Other	Other		W
J0000	Ideological & Single Issue PACs	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J1000	General Ideological	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J1100	Republican/Conservative	Q01	Republican/Conservative	Ideology/Single-Issue	Ideological/Single-Issue		Q
J1110	Christian Conservative	Q01	Republican/Conservative	Ideology/Single-Issue	Ideological/Single-Issue		Q
J1200	Democratic/Liberal	Q02	Democratic/Liberal	Ideology/Single-Issue	Ideological/Single-Issue		Q
J1300	Third-party committees	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J2000	Leadership committees	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue		Q
J2100	Democratic leadership PAC	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue		Q
J2200	Republican leadership PAC	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue		Q
J2300	"Democratic officials, candidates & former members"	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue		Q
J2400	"Republican officials, candidates & former members"	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue		Q
J2500	Non-Federal candidate committees	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue		Q
J3000	Consumer groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J4000	Fiscal & tax policy	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J5000	Foreign policy	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue		Q
J5100	Pro-Israel	Q05	Pro-Israel	Ideology/Single-Issue	Ideological/Single-Issue		Q
J5200	Anti-Castro	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue		Q
J5300	Puerto Rico statehood policy	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue		Q
J5400	Pro-Arab	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue		Q
J6100	Anti-Guns	Q12	Gun Control	Ideology/Single-Issue	Ideological/Single-Issue		Q
J6200	Pro-Guns	Q13	Gun Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
J6500	Militias & Anti-Government Groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7000	Human Rights	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7120	Abortion policy/Anti-Abortion	Q14	Abortion Policy/Anti-Abortion	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7150	Abortion policy/Pro-Abortion Rights	Q15	Abortion Policy/Pro-Abortion Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7200	Elderly issues/Social Security	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7210	Legalization of Doctor-Assisted Suicide	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7300	Gay & lesbian rights & issues	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7400	Women's issues	Q08	Women's Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7500	Minority/Ethnic Groups	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7510	Native American Tribes	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7600	Animal Rights	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J7700	Children's rights	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
J8000	"Labor, anti-union"	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J9000	Other single-issue or ideological groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
J9100	Term limits	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
JD100	"Defense policy, hawks"	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue		Q
JD200	"Defense policy, doves"	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue		Q
JE300	Environmental policy	Q11	Environment	Ideology/Single-Issue	Ideological/Single-Issue		Q
JH100	Health & welfare policy	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue		Q
JW100	Pro-resource development groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue		Q
K0000	Legal Services	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists		K
K1000	Attorneys & law firms	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists		K
K1100	Trial lawyers & law firms	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists		K
K1200	Corporate lawyers & law firms	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists		K
K2000	Lobbyists & Public Relations	K02	Lobbyists	Lawyers & Lobbyists	Lawyers & Lobbyists		K
K2100	Registered Foreign Agents	K02	Lobbyists	Lawyers & Lobbyists	Lawyers & Lobbyists		K
L0000	Labor Unions	P05	Misc Unions	Labor	Labor		P
L1000	Civil service & government unions	P04	Public Sector Unions	Labor	Labor		P
L1100	Federal employees unions	P04	Public Sector Unions	Labor	Labor		P
L1200	State & local govt employee unions	P04	Public Sector Unions	Labor	Labor		P
L1300	Teachers unions	P04	Public Sector Unions	Labor	Labor		P
L1400	Police & firefighters unions & associations	P04	Public Sector Unions	Labor	Labor		P
L1500	US Postal Service unions & associations	P04	Public Sector Unions	Labor	Labor		P
L5000	Other unions	P05	Misc Unions	Labor	Labor		P
LA100	Agricultural labor unions	P05	Misc Unions	Labor	Labor		P
LB100	Building trades unions	P01	Building Trade Unions	Labor	Labor		P
